V1,V2,value
"Pound, Ezra",Committee for the Nation,2
"Pound, Ezra",Common Sense,2
"Pound, Ezra",Connecticut American,2
"Pound, Ezra","Contri, Siro",2
"Pound, Ezra","Conner, Bruce",2
"Pound, Ezra","Connolly, Cyril",2
"Pound, Ezra","Connolly, Thomas Edmund",4
"Pound, Ezra","Conrad, Joseph",2
"Pound, Ezra",Contact (New York),2
"Pound, Ezra",Contact Editions,2
"Pound, Ezra",Contempo,4
"Pound, Ezra",Contemporary Poetry and Prose,2
"Pound, Ezra","Contini, Ennio",2
"Pound, Ezra","Cookson, William",12
"Pound, Ezra","Cooper, Diana Manners, Viscountess Norwich",6
"Pound, Ezra","Cooper, Julian",2
"Pound, Ezra","Cope, Sarah Perkins",2
"Pound, Ezra","Corke, Helen",2
"Pound, Ezra","Cornell, Julien D.",2
"Pound, Ezra","Cornfield, Silas",2
"Pound, Ezra","Coronel Urtecho, Jose",2
"Pound, Ezra",Corriere Mercantile,17
"Pound, Ezra",Corvina,2
"Pound, Ezra","Cory, Daniel",24
"Pound, Ezra","Cosciu, Dante",2
"Pound, Ezra","Cosco, Giuseppina Sperandeo",18
"Pound, Ezra","Coselschi, Eugenio",27
"Pound, Ezra","Cosgrave, John O'Hara",31
"Pound, Ezra","Coughlin, Charles, Rev.",5
"Pound, Ezra","Coulson, Richard",2
"Pound, Ezra","Cournos, John",12
"Pound, Ezra","Courtney, William Leonard",2
"Pound, Ezra","Covici, Friede, Inc.",15
"Pound, Ezra",Covington & Burling,2
"Pound, Ezra","Cowley, Malcolm",2
"Pound, Ezra","Cowley, William H.",2
"Pound, Ezra","Cox, Arthur",2
"Pound, Ezra","Creeley, Robert",2
"Pound, Ezra","Creekmore, Hubert",2
"Pound, Ezra","Crescini, Vincenzo",2
"Pound, Ezra","Crisula, Leandro",2
"Pound, Ezra","Critchfield & Company, advertising",2
"Pound, Ezra",Criterion,2
"Pound, Ezra","Croft, Diana",2
"Pound, Ezra","Croft, Henry Page",2
"Pound, Ezra","Crompton, Yorke",7
"Pound, Ezra","Crosby, Caresse",9
"Pound, Ezra","Cross, Mary Moore",24
"Pound, Ezra","Cross, Wilbur",2
"Pound, Ezra","Crowder, Henry",2
"Pound, Ezra","Cullen, Countee",2
"Pound, Ezra","Cullis, Michael F.",7
"Pound, Ezra","Cummings, E. E.",33
"Pound, Ezra","Cummings, Marion",2
"Pound, Ezra","Cunard, Emerald Maud Alice Burke, Lady",17
"Pound, Ezra","Cunard, Nancy",6
"Pound, Ezra","Cunard, Nancy",17
"Pound, Ezra","Cunningham, Lulu",10
"Pound, Ezra","Cunninghame, Graham R. B. (Robert Bontine)",21
"Pound, Ezra",Current Controversy,2
"Pound, Ezra","Currier, Everett Raymonde",2
"Pound, Ezra","Curtis Brown, Ltd.",35
"Pound, Ezra","Cushard, William G.",4
"Pound, Ezra","Cutting, Bronson Murray",6
"Pound, Ezra","Dadone, Ugo",4
"Pound, Ezra","Dagilaitis, John",7
"Pound, Ezra","Dahlberg, Edward",8
"Pound, Ezra","Daiches, David",2
"Pound, Ezra",Daily Telegraph,4
"Pound, Ezra",The Daily Worker,2
"Pound, Ezra","Daladier, Edouard",2
"Pound, Ezra","Dalmon, Charles William",2
"Pound, Ezra","d'Althan, Nino",2
"Pound, Ezra","Dalton, Hugh & Ruth",2
"Pound, Ezra","Damrosch, Walter",2
"Pound, Ezra","Darantière, Maurice",2
"Pound, Ezra",Dartmouth College Library,2
"Pound, Ezra","Das, Prafulla Chandra",5
"Pound, Ezra","Davenport, Guy",7
"Pound, Ezra","Davidson, Eugene",5
"Pound, Ezra","Davie, Donald",2
"Pound, Ezra","Davies, Ingrid",4
"Pound, Ezra","Davies, Ingrid",9
"Pound, Ezra","Davies, Langdon",2
"Pound, Ezra","Davies, Richard",3
"Pound, Ezra","Davis, Edward",4
"Pound, Ezra","Davray, Henry D.",2
"Pound, Ezra","Dana, Richard H.",2
"Pound, Ezra","Darantiere, Maurice",2
"Pound, Ezra","Day, James",2
"Pound, Ezra","Dazzi, Manilo Torquato",37
"Pound, Ezra","De Angelis, Vittorio",2
"Pound, Ezra","De Barbieri, Vittorio",2
"Pound, Ezra","De Bosis, Lauro",2
"Pound, Ezra","de Courten, Maria Luisa Giartosio",6
"Pound, Ezra",Defenders of the American Constitution,2
"Pound, Ezra","de Feo, Luciano",2
"Pound, Ezra",De Giglio,2
"Pound, Ezra","degli Uberti, Ricardo",21
"Pound, Ezra","degli Uberti, Ubaldo",28
"Pound, Ezra","de Gramont, Sanche",2
"Pound, Ezra","de Janosi, Carlotte Engel",3
"Pound, Ezra","De Kruif, Paul Henry",3
"Pound, Ezra","Delaisi, Francis",2
"Pound, Ezra","De La Mare, Richard",6
"Pound, Ezra","De la Mare, Walter",2
"Pound, Ezra","Delcroix, Carlo",26
"Pound, Ezra","Dell, Floyd",2
"Pound, Ezra","Delmer, Frederic Sefton",2
"Pound, Ezra","De Paoli, Domenico",2
"Pound, Ezra","Del Pelopardi, Marcella",2
"Pound, Ezra",Delphian Society (Chicago),6
"Pound, Ezra","Del Valle, Pedro Augusto",6
"Pound, Ezra","Demetz, Peter",3
"Pound, Ezra","de Peverelli, Bruno",2
"Pound, Ezra","Desmond Harmsworth, Ltd.",2
"Pound, Ezra","de Stefano, G.",2
"Pound, Ezra","Deutsch, Babette",20
"Pound, Ezra","Devereaux, Nora",2
"Pound, Ezra","Devlin, Fr. Vianney M.",6
"Pound, Ezra","De Voto, Bernard",2
"Pound, Ezra","Dewey, Davis Rich",2
"Pound, Ezra","Dewey, John",2
"Pound, Ezra","Dewey, Thomas E.",2
"Pound, Ezra",The Dial,9
"Pound, Ezra",Dialoghi,2
"Pound, Ezra","Diamond, David",2
"Pound, Ezra","Dickey, James",3
"Pound, Ezra","Diehl, Charles",2
"Pound, Ezra","Dillon, George",2
"Pound, Ezra","Di Marzio, Cornelio",5
"Pound, Ezra",Direction,2
"Pound, Ezra","Dismorr, Jessica",19
"Pound, Ezra","Dixon, Vladimir",37
"Pound, Ezra","Dobbins, Elsa",2
"Pound, Ezra","Dobree, Bonamy",2
"Pound, Ezra","Dodson, Daniel",2
"Pound, Ezra","Dodsworth, Edmondo",2
"Pound, Ezra","Dolmetsch, Arnold",26
"Pound, Ezra","Dolmetsch, Carl Richard",2
"Pound, Ezra","Domvile, Barry, Sir",6
"Pound, Ezra","Donaldson, Norman",16
"Pound, Ezra","Dondo, Mathurin Marius",4
"Pound, Ezra","Donini, Filippo",2
"Pound, Ezra","Donnelly, Leo Charles",4
"Pound, Ezra","Doolittle, Hilda",2
"Pound, Ezra","Dorfman, Saul",2
"Pound, Ezra","Dorfner, Alois",2
"Pound, Ezra","Douglas, Alfred Bruce, Lord",2
"Pound, Ezra","Douglas, Clifford Hugh",12
"Pound, Ezra","Dowling, Lyle",2
"Pound, Ezra","Doyle, Fr. James",4
"Pound, Ezra",Drama League of America,2
"Pound, Ezra","Drinkwater, Francis Harold",2
"Pound, Ezra","Drummond, John",33
"Pound, Ezra","Duboin, [Jacques]",2
"Pound, Ezra","Duchamp, Marcel",2
"Pound, Ezra","Dudek, Louis",12
"Pound, Ezra","Duff, Charles",2
"Pound, Ezra","Dukes, Ashley",2
"Pound, Ezra","Dulac, Edmund",38
"Pound, Ezra","Duncan, Ethel",24
"Pound, Ezra","Duncan, Robert Edward",6
"Pound, Ezra","Duncan, Ronald Frederick Henry",44
"Pound, Ezra","Dunn, James Taylor",2
"Pound, Ezra","Dunn, William Gordon",2
"Pound, Ezra","Dunning, Ralph Cheever",2
"Pound, Ezra","Durrell, Lawrence",2
"Pound, Ezra","Dyer, Louise",6
"Pound, Ezra","Dyson, William Henry",2
"Pound, Ezra","Earp, Frank Russell",2
"Pound, Ezra",East & West,2
"Pound, Ezra","Eastman, Max",2
"Pound, Ezra","Eaton, Charles Edward",2
"Pound, Ezra","Eberhart, Richard",2
"Pound, Ezra",Economic Forum,4
"Pound, Ezra",Échanges (Paris),2
"Pound, Ezra","Ede, Harold Stanley",2
"Pound, Ezra",Ediciones Guadarrama,2
"Pound, Ezra","Edwards, A. C.",2
"Pound, Ezra","Edwards, Arthur Trystan",4
"Pound, Ezra",Edwards Brothers,5
"Pound, Ezra","Edwards, John B.",4
"Pound, Ezra","Edwards, John Hamilton",4
"Pound, Ezra","Einstein, Albert",2
"Pound, Ezra","Einstein, Carl",2
"Pound, Ezra","Ellerman, Winifred",2
"Pound, Ezra","Eliot, T. S.",59
"Pound, Ezra","Eliot, Valerie",2
"Pound, Ezra","Eliot, Vivien Haigh-Wood",2
"Pound, Ezra","Elizondo, Jose",2
"Pound, Ezra","Ellis, Dorothy",2
"Pound, Ezra","Elston, J.",4
"Pound, Ezra","Elwell-Sutton, Albert Sigismund",2
"Pound, Ezra","Emery, Clark",2
"Pound, Ezra","Emery, George L.",5
"Pound, Ezra","Engel, Carl",2
"Pound, Ezra","England, Robert D.",7
"Pound, Ezra",English Association,3
"Pound, Ezra",English Journal,7
"Pound, Ezra",English Review,28
"Pound, Ezra","Epstein, Jacob, Sir",2
"Pound, Ezra","Erskine, John",2
"Pound, Ezra","Espey, John Jenkins",4
"Pound, Ezra",Esquire; the Magazine for Men,7
"Pound, Ezra","Evans, David",2
"Pound, Ezra","Evans, Thomas Horace",2
"Pound, Ezra","Examiner (Bethlehem, Ct.)",2
"Pound, Ezra",The Exile,2
"Pound, Ezra","Ezekiel, Mordecai",2
"Pound, Ezra",Faber and Faber,27
"Pound, Ezra","Fack, Hugo",23
"Pound, Ezra","Fairly, Paul A.",2
"Pound, Ezra","Falqui, Enrico",2
"Pound, Ezra","Fang, Achilles",2
"Pound, Ezra","Fang, Chih-t'ung",15
"Pound, Ezra","Fanning, Peter",3
"Pound, Ezra","Farinacci, Roberto",6
"Pound, Ezra","Farrar, John",2
"Pound, Ezra",Farrar & Rinehart,3
"Pound, Ezra","Farrell, James T.",4
"Pound, Ezra",Fascist Quarterly,2
"Pound, Ezra","Fassin, Gustave",2
"Pound, Ezra","Faulkner, William",2
"Pound, Ezra","Favilla, Vikki",2
"Pound, Ezra","Fedele, Pietro",2
"Pound, Ezra","Federici, Nino Guerzoni",2
"Pound, Ezra","Feick, Mather",2
"Pound, Ezra","Fenollosa, Mary McNeil",4
"Pound, Ezra","Ferlinghetti, Lawrence",5
"Pound, Ezra","Ferrari, Gustave",2
"Pound, Ezra","Ferry, Frederick C.",2
"Pound, Ezra",Le Figaro Litteraire,2
"Pound, Ezra",Filippani-Ronconi family,16
"Pound, Ezra",The Financial News (London),2
"Pound, Ezra","Finger, Charles Joseph",2
"Pound, Ezra","Fischer, Walther L.",2
"Pound, Ezra","Fisher, Dorothy Canfield",2
"Pound, Ezra","Fisher, Irving",3
"Pound, Ezra",Fisk University,2
"Pound, Ezra","Fitts, Dudley",2
"Pound, Ezra","Fitzgerald, Desmond",14
"Pound, Ezra","Fitzgerald, Edward",2
"Pound, Ezra","Fitzgerald, James P.",5
"Pound, Ezra","Fitzgerald, Robert",25
"Pound, Ezra","Fitzgerald, William",2
"Pound, Ezra","Fjelde, Rolf",9
"Pound, Ezra","Fleming, Rudd",6
"Pound, Ezra","Fleming, William",2
"Pound, Ezra","Fletcher, Ifan Kyrle",2
"Pound, Ezra","Fletcher, J. B.",2
"Pound, Ezra","Fletcher, John Gould",30
"Pound, Ezra","Flint, Frank Stewart",33
"Pound, Ezra","Fogler, Sigmund",2
"Pound, Ezra","Fonte Basso, Alfonso Carlo",2
"Pound, Ezra","Ford, Charles Henri",10
"Pound, Ezra","Ford, Ford Madox",21
"Pound, Ezra","Ford, Janice Biala",2
"Pound, Ezra","Ford, Henry",2
"Pound, Ezra","Fordham, Montague",2
"Pound, Ezra","Forlin, Corrado",2
"Pound, Ezra",Forschungsinstitut Fur Kultur- morphologie,2
"Pound, Ezra","Forssell, Lars",3
"Pound, Ezra",The Fortnightly Review,5
"Pound, Ezra",Forum (New York),2
"Pound, Ezra","Foster, Harvey N.",3
"Pound, Ezra","Foster, Jeanne Robert Oliver",38
"Pound, Ezra",Four Pages,4
"Pound, Ezra",Four Winds Press,2
"Pound, Ezra","Fowler, Alfred, Mrs.",2
"Pound, Ezra","Fowler, Elaine W.",3
"Pound, Ezra","Fox, Douglas Claughton",2
"Pound, Ezra","Fraenkel, Michael",2
"Pound, Ezra","Frampton, Hollis",3
"Pound, Ezra","Franchetti, Luigino",3
"Pound, Ezra","Frank, Hans",2
"Pound, Ezra","Franklin, Albert Barnes",2
"Pound, Ezra","Franklin, Harold",7
"Pound, Ezra","Frazier, Sen. L. J.",2
"Pound, Ezra",Free Speech & Assembly Bulletin,2
"Pound, Ezra","French, Gloria",2
"Pound, Ezra","French, William",12
"Pound, Ezra","Friart, L.",2
"Pound, Ezra",Friends of National Spain,2
"Pound, Ezra",Frobenius-Institut an der Johann Wolfgang Goethe-Universitat,32
"Pound, Ezra",Front,2
"Pound, Ezra","Frost, Robert",2
"Pound, Ezra","Frost, Ruth Sterling",4
"Pound, Ezra","Fry, Varian",2
"Pound, Ezra","Fuller, John Frederick Charles",20
"Pound, Ezra","Fumagalli, Guiseppina",2
"Pound, Ezra",Funk and Wagnalls,2
"Pound, Ezra",Furioso (New Haven),2
"Pound, Ezra","Furniss, Robert M.",12
"Pound, Ezra",G.K.'s Weekly,4
"Pound, Ezra","Gadfly (Cambridge, Mass.)",2
"Pound, Ezra","Gale, Susan",2
"Pound, Ezra",Galleria del Milione (Milan),5
"Pound, Ezra","Gallippi, Alberto",2
"Pound, Ezra","Gallup, Donald Clifford",2
"Pound, Ezra","Galton, Arthur",2
"Pound, Ezra","Gambetti, Fidia",2
"Pound, Ezra","Gannett, Frank Ernest",2
"Pound, Ezra","Garcia Terres, Jaime",8
"Pound, Ezra","Gardner, John",2
"Pound, Ezra","Garibaldi, Fercinando",12
"Pound, Ezra","Gario, Gino",2
"Pound, Ezra","Garrett, Alice",2
"Pound, Ezra","Garzanti, Aldo, Editore",2
"Pound, Ezra","Gaspard-Michel, Raymonde",2
"Pound, Ezra","Gatter, Carl",4
"Pound, Ezra","Gatter, Elsie",2
"Pound, Ezra","Gaudier-Brzeska, Henri",2
"Pound, Ezra","Gauss, Christian",2
"Pound, Ezra","Gauthier-Villars, Henry",2
"Pound, Ezra",Gazzetta del Popolo,11
"Pound, Ezra","Gazzo, Emanuel",3
"Pound, Ezra","Gellert, Laurence",2
"Pound, Ezra",Genova (Genoa): municipal government,7
"Pound, Ezra","Genthe, Arnold",2
"Pound, Ezra","Gerhardt, Rainer M.",2
"Pound, Ezra","Gerhardt, Renate",2
"Pound, Ezra",Germany and You (Berlin),4
"Pound, Ezra","Gerstley, Margaret Leona",6
"Pound, Ezra","Gertler, Eudre",2
"Pound, Ezra","Ghiringhelli, Peppino",2
"Pound, Ezra","Ghose, Kali Mohon",2
"Pound, Ezra","Giannone, Richard J.",2
"Pound, Ezra","Gibelli, Giuseppe",2
"Pound, Ezra","Gibson, Arthur Leslie",7
"Pound, Ezra","Gilbert, Jack",2
"Pound, Ezra","Gillhoff, Gerd Aage",2
"Pound, Ezra","Gilling, Smith G. D.",6
"Pound, Ezra","Gilson, Etienne",2
"Pound, Ezra","Gingrich, Arnold",26
"Pound, Ezra",Giornale di Genova (Genova),7
"Pound, Ezra","Giovanelli, Felix Bruno",6
"Pound, Ezra","Giovannini, Giovanni",11
"Pound, Ezra","Giuffrida, F.",2
"Pound, Ezra",The Globe (Minneapolis-St. Paul),26
"Pound, Ezra","Glover, Etta",2
"Pound, Ezra","Glover, Halcott",2
"Pound, Ezra","Goacher, Denis",11
"Pound, Ezra","Goedel, Carl",2
"Pound, Ezra","Gold, Mike",8
"Pound, Ezra",Golden Eagle Press,2
"Pound, Ezra","Golding, Louis",2
"Pound, Ezra","Goldsborough, T. Alan",4
"Pound, Ezra","Golejinski, Honor",2
"Pound, Ezra","Gosse, Edmund William, Sir",2
"Pound, Ezra","Gordon, David",10
"Pound, Ezra","Gordon, Lewis Hall",2
"Pound, Ezra","[Gore-Booth, Eva]",2
"Pound, Ezra","Gorman, Herbert Sherman",2
"Pound, Ezra",Gotham Book Mart (New York),2
"Pound, Ezra","Goulart, Peter",2
"Pound, Ezra","Gould, Frederick James",3
"Pound, Ezra","Gould, Joe",12
"Pound, Ezra","Gourmont, Jean de",6
"Pound, Ezra","Grab, Frederick",6
"Pound, Ezra","Grainger-Kerr, M. E. [""Meg""]",2
"Pound, Ezra",Gran Premio Bergamo,2
"Pound, Ezra","Grande, Adriano [""Circoli""]",9
"Pound, Ezra","Graves, John D.",3
"Pound, Ezra","Gray, Edmund",2
"Pound, Ezra","Gray, Edward P.",2
"Pound, Ezra","Gray, Finly H.",4
"Pound, Ezra","Gray, Woods",9
"Pound, Ezra","Greacen, Patricia",2
"Pound, Ezra","Green, Gretchen",2
"Pound, Ezra",Green Shirts of England,2
"Pound, Ezra",Greenwich Time,2
"Pound, Ezra","Gregory, Augusta, Lady",2
"Pound, Ezra","Gregory, Horace",9
"Pound, Ezra","Grieve, Christopher Murray",2
"Pound, Ezra",Grolier Book Shop,2
"Pound, Ezra","Gruber, A., M.D.",2
"Pound, Ezra","Gruesen, John Joseph",2
"Pound, Ezra","Grut, Mario",2
"Pound, Ezra","Guandi, Ugo",8
"Pound, Ezra",The Guardian,2
"Pound, Ezra","Guenther, Charles",7
"Pound, Ezra","Guidi, Guido",2
"Pound, Ezra","Gun, Nerin E.",2
"Pound, Ezra","Guzzo, Augusto",2
"Pound, Ezra",H.D. (Hilda Doolittle),51
"Pound, Ezra",Hague & Gill Ltd.,10
"Pound, Ezra","Hall, Donald",4
"Pound, Ezra","Halmos, Laszlo",2
"Pound, Ezra","Hambleton, Ronald",2
"Pound, Ezra",Hamilton College,30
"Pound, Ezra","Hamilton, Edith",5
"Pound, Ezra","Hammarskjöld, Dag",4
"Pound, Ezra","Hammer, Jeanne-Ruth",2
"Pound, Ezra","Hammond, Douglas",4
"Pound, Ezra","Hammond, Featherstone",5
"Pound, Ezra","Hand, Claudius",6
"Pound, Ezra","Harald, Michael",2
"Pound, Ezra","Harcourt, Brace and Company (New York)",28
"Pound, Ezra","Hardie, Martin",2
"Pound, Ezra","Harding, E. A. F. (British Broadcasting Corp.)",2
"Pound, Ezra","Harding, E. A. F.",3
"Pound, Ezra",(British Broadcasting Corp.),2
"Pound, Ezra","Hardy, Thomas",8
"Pound, Ezra","Hare, Betty",3
"Pound, Ezra","Hargrave, John",14
"Pound, Ezra","Harmsworth, Desmond",3
"Pound, Ezra","Harper, Allanah",2
"Pound, Ezra","Harper, Elizabeth W.",2
"Pound, Ezra","Harper & Brothers, publishers",28
"Pound, Ezra","Harrell, Mary Ann",2
"Pound, Ezra","Harriman, Karl",2
"Pound, Ezra","Harris, R. A.",4
"Pound, Ezra",Hartford Conservatory of Music,2
"Pound, Ezra","Hartley, George",8
"Pound, Ezra","Hartmann, Sadakichi",13
"Pound, Ezra",The Harvard Advocate,2
"Pound, Ezra",The Harvard Crimson,2
"Pound, Ezra",Harvard University,24
"Pound, Ezra",Harvard University Press,7
"Pound, Ezra","Hatfield, W. Wilbur",2
"Pound, Ezra","Haughey, Marguerite",2
"Pound, Ezra","Hauptmann, Gerhart",17
"Pound, Ezra","Hawk, Harold W.",4
"Pound, Ezra","Hawkins, A. Desmond",5
"Pound, Ezra","Hawley, Charles A.",2
"Pound, Ezra","Hawley, William",11
"Pound, Ezra","Hayes, Gerald",10
"Pound, Ezra","Hayes, Ildiko",2
"Pound, Ezra","Head, Roy",2
"Pound, Ezra","Heald, Louise",2
"Pound, Ezra","Heap, Jane",15
"Pound, Ezra","Hemingway, Ernest",46
"Pound, Ezra","Henderson, Alice Corbin",19
"Pound, Ezra","Henderson, Wynifred (Hours Press)",2
"Pound, Ezra","Henghes, H.",17
"Pound, Ezra","Henry, L. Vaughan",2
"Pound, Ezra","Herbiet, Georges",12
"Pound, Ezra","Herlitschka, Herberth",3
"Pound, Ezra","Hersh, Virginia",2
"Pound, Ezra","Hersey, Harold Brainerd",2
"Pound, Ezra","Herter, Christian",20
"Pound, Ezra","Hess, Guido",8
"Pound, Ezra","Hesse, Eva",16
"Pound, Ezra","Hewlett, Maurice Henry",2
"Pound, Ezra","Heyman, Katherine Ruth",2
"Pound, Ezra","Hickok, Guy",14
"Pound, Ezra","Hield, Robert",5
"Pound, Ezra","Hightower, Robert",2
"Pound, Ezra","Hika (Kenyon College, Gambier, Ohio)",3
"Pound, Ezra","Hiler, Hilare",3
"Pound, Ezra","Hill, George Francis",2
"Pound, Ezra","Hill, Paul A.",2
"Pound, Ezra","Hirsch, Charlotte",8
"Pound, Ezra","Hobday, Robert",2
"Pound, Ezra","Hoehn, Matthew",2
"Pound, Ezra","Hoff, ""Grandma""",2
"Pound, Ezra","Hoffman, H. R.",3
"Pound, Ezra","Hoffmann, Rolf",2
"Pound, Ezra",Holborn Publishing Co. Ltd.,2
"Pound, Ezra","Holbrooke, Josef Charles",2
"Pound, Ezra","Hollis, Christopher",4
"Pound, Ezra","Holmes, T. V.",25
"Pound, Ezra","Holroyd-Reece, John (Albatross Press)",6
"Pound, Ezra","Hone, Joseph Maunsell",2
"Pound, Ezra","Hone, Vera",2
"Pound, Ezra","Hoover, Herbert",2
"Pound, Ezra","Hoover, Norman R.",2
"Pound, Ezra",Hopwood poetry contests: 1st series,2
"Pound, Ezra","Horton, T. David",7
"Pound, Ezra","Horton, Thomas T.",4
"Pound, Ezra",Houghton Mifflin & Co.,31
"Pound, Ezra",The Hound & Horn,2
"Pound, Ezra",Hours Press,2
"Pound, Ezra","House of El Dieff, Inc.",2
"Pound, Ezra","Howe, Marvine",11
"Pound, Ezra","Howell, Douglas Morse",3
"Pound, Ezra","Howell, Mary",8
"Pound, Ezra","Huddleston, Sisley",10
"Pound, Ezra","Hudson, William Henry",2
"Pound, Ezra",The Hudson Review,10
"Pound, Ezra","Hughes, Glenn",10
"Pound, Ezra","Hughes, Langston",4
"Pound, Ezra","Hughes, Rupert",33
"Pound, Ezra","Hull, Cordell",7
"Pound, Ezra","Hull, William",2
"Pound, Ezra","Hunt, John G.",2
"Pound, Ezra","Hunt, Violet",9
"Pound, Ezra","Husain, Itrat",2
"Pound, Ezra","Hutchings, C. M.",2
"Pound, Ezra","Hutchins, Patricia",12
"Pound, Ezra","Hutchison, Graham Seton",4
"Pound, Ezra","Hyatt, Miles",4
"Pound, Ezra","Hynes, Gladys ",33
"Pound, Ezra","Also stored in: Oversize, Box 235, folders 1-2",2
"Pound, Ezra","Hynes, Samuel Lynn",8
"Pound, Ezra","Ibbotson, Joseph D.",8
"Pound, Ezra","Ickes, Harold",6
"Pound, Ezra","Idlet, John",2
"Pound, Ezra",Imagi; mid-century American poetry,8
"Pound, Ezra","Imperiali, D. (Marchesa)",2
"Pound, Ezra",Independent (London),3
"Pound, Ezra","Indian Museum (Calcutta, India)",2
"Pound, Ezra",L'Indice (Genoa),2
"Pound, Ezra","Inge, William",2
"Pound, Ezra",Inland Review,2
"Pound, Ezra",International Association of University Professors of English,2
"Pound, Ezra",International Pocket Library Corp.,2
"Pound, Ezra",Intradestal i Svenska Akademien,2
"Pound, Ezra",Ireland. Dail Eireann,2
"Pound, Ezra","Iris, Scharmel",2
"Pound, Ezra",The Irish Times (Dublin),2
"Pound, Ezra",Isakssson. Folke,2
"Pound, Ezra",L'Italia Nostra (London),2
"Pound, Ezra","Italian Embassy, London",4
"Pound, Ezra","Ito, Michio",7
"Pound, Ezra",Itrat-Husain,2
"Pound, Ezra","Ivancich, Gianfranco",24
"Pound, Ezra","Iwasaki, Ryozo",5
"Pound, Ezra","Izzo, Carlo",26
"Pound, Ezra","Jacobs, Sidney A. (Golden Eagle Press)",2
"Pound, Ezra","James, Fleming Henry",8
"Pound, Ezra","James, Henry",2
"Pound, Ezra","Jammers, Ewald",2
"Pound, Ezra","Jankowski, Stanislaw",8
"Pound, Ezra","Jankowski, Stefanie",12
"Pound, Ezra",Japan Times & Mail (Tokyo),5
"Pound, Ezra","Jenks, Jorian E. F.",2
"Pound, Ezra","Jepson, Edgar",2
"Pound, Ezra","Jerrold, Douglas",2
"Pound, Ezra","Jeuck, William N.",5
"Pound, Ezra",John Bull (London),2
"Pound, Ezra",John Simon Guggenheim Memorial Foundation,29
"Pound, Ezra","Johns, Orrick",2
"Pound, Ezra","Johns, Richard",2
"Pound, Ezra","Johnson, Hewlett",6
"Pound, Ezra","Johnson, Hiram",2
"Pound, Ezra","Johnson, Reid",9
"Pound, Ezra","Johnston, Tom",2
"Pound, Ezra","Jonathan Cape, Ltd.",2
"Pound, Ezra","Jones, Owen",2
"Pound, Ezra","Jones, Tom",5
"Pound, Ezra","Jordan, David Starr",3
"Pound, Ezra","Jordan, R. C.",2
"Pound, Ezra","Jordan, Viola",31
"Pound, Ezra","Jordan, Viola",10
"Pound, Ezra",La Journal des Poetes (Brussels),29
"Pound, Ezra","Joyce, James",25
"Pound, Ezra","Joyce, James [miscellaneous papers]",49
"Pound, Ezra","Joyce, Lucia",2
"Pound, Ezra","Joyce, Stanislaus",2
"Pound, Ezra","Joyce, William",2
"Pound, Ezra",Juilliard Foundation or School of Music,2
"Pound, Ezra","Just, Ward",2
"Pound, Ezra","Kahn, Otto Hermann",7
"Pound, Ezra","KART Radio (Hailey, Idaho)",2
"Pound, Ezra","Kasper, John",20
"Pound, Ezra","Kast, Ludwig",2
"Pound, Ezra","Kavanagh, Patrick",4
"Pound, Ezra","Kearns, George",3
"Pound, Ezra","Kearton, [?]",2
"Pound, Ezra","Keedick, Lee",2
"Pound, Ezra","Kenner, Hugh",14
"Pound, Ezra","Kenway, Phillip T.",2
"Pound, Ezra","Keogh, Joseph",2
"Pound, Ezra","Kerr, Gordon",2
"Pound, Ezra","Kerr, M. E. Grainger",4
"Pound, Ezra","Kettner, Frederick",2
"Pound, Ezra","Keynes, John Maynard",2
"Pound, Ezra","Kimball, Dexter",2
"Pound, Ezra","Kimball, Dudley",2
"Pound, Ezra","King, Alexander",2
"Pound, Ezra","Kingwood Review (Salem, Ore.)",2
"Pound, Ezra","Kirstein, Lincoln",5
"Pound, Ezra","Kitasono, Katue",25
"Pound, Ezra","Kitson, Arthur",5
"Pound, Ezra","Kizer, Benjamin Hamilton",2
"Pound, Ezra","Knocker, E. H.",3
"Pound, Ezra","Knoll, Robert E.",2
"Pound, Ezra","Knopf, Alfred A., Inc. (New York)",2
"Pound, Ezra","Koch, P. M. (Four Winds Press)",9
"Pound, Ezra","Kodama, Sanehide",2
"Pound, Ezra","Komroff, Manuel",2
"Pound, Ezra","Konody, Paul George",2
"Pound, Ezra","Kostetzky, Eaghor G.",4
"Pound, Ezra","Koteliansky, Samuel Solomonovitch",2
"Pound, Ezra","Koume, Tami",3
"Pound, Ezra","Kremwitz-Buckton, Harry",2
"Pound, Ezra","Krim, Seymour",2
"Pound, Ezra","Kripalani, Krishna",2
"Pound, Ezra","Kwock, C. R.",2
"Pound, Ezra","Labroca, Mario",2
"Pound, Ezra","LaDriere, James Craig",8
"Pound, Ezra","Lady, Lee",2
"Pound, Ezra","La Follette, Suzanne",2
"Pound, Ezra","La Guardia, Fiorello",2
"Pound, Ezra","Laidlaw and Butchart, Ltd.",2
"Pound, Ezra",Laidlaw & Laidlaw,3
"Pound, Ezra","Lambart, Alfred",3
"Pound, Ezra","Lamont, Corliss",2
"Pound, Ezra","Lampman, Rex",10
"Pound, Ezra","Landini, Richard",2
"Pound, Ezra","Lane, Allen",2
"Pound, Ezra","Lane, John (Bodley Head Ltd.)",2
"Pound, Ezra","Lang, Cosmo Gordon",2
"Pound, Ezra","Langer, William",2
"Pound, Ezra","Lansbury, [?]",2
"Pound, Ezra","Lanza, Lorenzo Ercole",2
"Pound, Ezra","Larkin, James Crate",8
