H.D. (Hilda Doolittle),"Horner, Isaline Blew",2
H.D. (Hilda Doolittle),Houghton Mifflin Company,20
H.D. (Hilda Doolittle),"Howard, Agnes Seidel",2
H.D. (Hilda Doolittle),"Howard, Clifford",16
H.D. (Hilda Doolittle),"Howard, Hattie",9
H.D. (Hilda Doolittle),"Howard, Hildegarde",19
H.D. (Hilda Doolittle),"Hughes, Molly",8
H.D. (Hilda Doolittle),"Hughes, Randolph",2
H.D. (Hilda Doolittle),Institute of Contemporary Arts,2
H.D. (Hilda Doolittle),"Jenkins, Laura Wolle",6
H.D. (Hilda Doolittle),"Jordan, Barbara",2
H.D. (Hilda Doolittle),"Jordan, Viola",14
H.D. (Hilda Doolittle),"Kash, Christine",2
H.D. (Hilda Doolittle),"Katibah, Helen Doolittle",2
H.D. (Hilda Doolittle),"Keeney, Sue Dorothy",2
H.D. (Hilda Doolittle),"La Marche-Sacriste, Louis",2
H.D. (Hilda Doolittle),"Latimer, Ronald Lane",3
H.D. (Hilda Doolittle),"Laughlin, James",2
H.D. (Hilda Doolittle),"Lawrence, D. H.",2
H.D. (Hilda Doolittle),"Leader, Ethel",2
H.D. (Hilda Doolittle),"Leslie, Doris",2
H.D. (Hilda Doolittle),"Levertov, Denise",2
H.D. (Hilda Doolittle),"Lewin, Blanche",2
H.D. (Hilda Doolittle),"Lewison, Ludwig",2
H.D. (Hilda Doolittle),"Little, Neil",2
H.D. (Hilda Doolittle),London Library,2
H.D. (Hilda Doolittle),"Long, Doris",6
H.D. (Hilda Doolittle),"Longmans, Green, and Company",2
H.D. (Hilda Doolittle),"Lowenfels, Walter",2
H.D. (Hilda Doolittle),"Ludeke, Henry",2
H.D. (Hilda Doolittle),"Lyons, Islay",11
H.D. (Hilda Doolittle),"McAlmon, Robert",26
H.D. (Hilda Doolittle),"Mackenzie, Faith Compton",9
H.D. (Hilda Doolittle),Macmillan and Company,3
H.D. (Hilda Doolittle),"Macpherson, Eileen",2
H.D. (Hilda Doolittle),"Macpherson, John",2
H.D. (Hilda Doolittle),"Macpherson, Kenneth",47
H.D. (Hilda Doolittle),"Martinelli, Sheri",7
H.D. (Hilda Doolittle),"Mase, Georgina",2
H.D. (Hilda Doolittle),"Masefield, John",6
H.D. (Hilda Doolittle),"Mayne, Ethel Colburn",2
H.D. (Hilda Doolittle),"Monnier, Adrienne",2
H.D. (Hilda Doolittle),"Moore, Marianne",41
H.D. (Hilda Doolittle),"Moore, Mary Warner",2
H.D. (Hilda Doolittle),"Moore, Merrill",20
H.D. (Hilda Doolittle),"Murray, D. L.",2
H.D. (Hilda Doolittle),"Nagy, Niclas Christoph de",2
H.D. (Hilda Doolittle),"Norman, Charles",2
H.D. (Hilda Doolittle),Oxford University Press,3
H.D. (Hilda Doolittle),"Parkham, Nellie E.",18
H.D. (Hilda Doolittle),"Patmore, Brigit",12
H.D. (Hilda Doolittle),"Pearson, Norman Holmes",43
H.D. (Hilda Doolittle),"Pearson, Susan",12
H.D. (Hilda Doolittle),"Peiter, Annie Jenkins",2
H.D. (Hilda Doolittle),"Plank, George",22
H.D. (Hilda Doolittle),"Plank, George",19
H.D. (Hilda Doolittle),"Pound, Dorothy",13
H.D. (Hilda Doolittle),"Pound, Ezra",44
H.D. (Hilda Doolittle),"Pratt, Margaret Snively",34
H.D. (Hilda Doolittle),"Pulsifer, Susan",2
H.D. (Hilda Doolittle),"Rachewiltz, Mary de",10
H.D. (Hilda Doolittle),"Richardson, Dorothy",28
H.D. (Hilda Doolittle),"Rogers, William D.",2
H.D. (Hilda Doolittle),"Rudge, Olga",8
H.D. (Hilda Doolittle),"Russell, Alys",4
H.D. (Hilda Doolittle),"Russell, Peter",4
H.D. (Hilda Doolittle),"Sackville-West, Vita",2
H.D. (Hilda Doolittle),"Sarton, May",6
H.D. (Hilda Doolittle),"Scarlett, Marie",2
H.D. (Hilda Doolittle),"Scarlett, Olive",2
H.D. (Hilda Doolittle),"Schaffner, John",11
H.D. (Hilda Doolittle),"Schaffner, Perdita",59
H.D. (Hilda Doolittle),"Schmideberg, Melitta",11
H.D. (Hilda Doolittle),"Schmideberg, Walter",22
H.D. (Hilda Doolittle),"Schnack, Elizabeth",8
H.D. (Hilda Doolittle),"Schur, Max",5
H.D. (Hilda Doolittle),"Serbanne, Claude",2
H.D. (Hilda Doolittle),"Shakespear, Olivia",2
H.D. (Hilda Doolittle),"Sinclair, May",2
H.D. (Hilda Doolittle),"Singleton, Elizabeth",2
H.D. (Hilda Doolittle),"Sitwell, Edith",3
